2020-Oct-02 00:23:33 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - Test Suite started!
2020-Oct-02 00:23:34 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:23:34 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:23:48 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:23:48 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:23:48 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:23:48 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_01_Search_Address_Without_Login_Then_Login started!
2020-Oct-02 00:23:54 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:24:30 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:24:42 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:24:47 AM [main] INFO  com.qa.interestsmart.base.BasePage - Capturing Screenshot for failed testcase
2020-Oct-02 00:24:47 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Clicked on Sign In button on the landing page
2020-Oct-02 00:24:48 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user email id into email filed as -> test03@mailinator.com
2020-Oct-02 00:24:48 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Sending user password into email filed as -> 123456
2020-Oct-02 00:24:51 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - After entering user's valid email id and valid password clicked on Sign In button on Signin page
2020-Oct-02 00:24:51 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - User is successfully able to login into the application
2020-Oct-02 00:24:52 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user first name after successful login as -> sud20
2020-Oct-02 00:24:52 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - Fetched user last name after successful login as -> singh
2020-Oct-02 00:24:55 AM [main] INFO  com.qa.interestsmart.pages.SignInToApplication - User is successfully able to logout from the application
2020-Oct-02 00:24:55 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_01_Search_Address_Without_Login_Then_Login passed!
2020-Oct-02 00:24:55 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:24:55 AM [main] INFO  com.qa.interestsmart.base.BasePage - Browser Name is : chrome
2020-Oct-02 00:25:03 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:03 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:03 AM [main] INFO  com.qa.interestsmart.base.BasePage - Running on Environment: QA
2020-Oct-02 00:25:03 AM [main] INFO  com.qa.interestsmart.listeners.ExtentReportListener - TC_01_LoginFacebook_Verify_FirstName_LastName_Logout started!
2020-Oct-02 00:25:05 AM [main] INFO  com.qa.interestsmart.pages.SignInPage - Clicked on Sign In button
2020-Oct-02 00:25:05 AM [main] INFO  com.qa.interestsmart.pages.SignInPage - Clicked on "Sign in with Facebook" button
2020-Oct-02 00:25:16 AM [main] INFO  com.qa.interestsmart.pages.SignInPage - 1. User First Name after login is Tejas
